OBJECTID,ZIPCODE,GIS_ID,WEB_URL,NAME,TYPE,LABEL,ZIP_CODE_TEXT,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
587,20415,ZIP_415,https://www.usps.com/,OFFICE OF PERSONNEL MANAGEMENT,UNIQUE,20415,20415,{8F431D99-6DFE-415D-AD91-8898D6E135F7},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
588,20374,ZIP_374,https://www.usps.com/,WASHINGTON NAVY YARD,UNIQUE,20374,20374,{4406C4A3-4544-4FBF-8D19-049ED46A48B9},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
589,20032,ZIP_032,https://www.usps.com/, ,STANDARD,20032,20032,{C58D10CB-BA1D-4879-B877-7B907D7A0FFE},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
590,20572,ZIP_572,https://www.usps.com/,NATIONAL MEDIATION BOARD,UNIQUE,20572,20572,{108F0B55-DE48-472F-8A84-5773B515A300},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
591,20573,ZIP_573,https://www.usps.com/,FEDERAL MARITIME COMMISSION,UNIQUE,20573,20573,{EE77E4FF-29DB-4CE0-8D6E-DC5FCA4E7848},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
592,20577,ZIP_577,https://www.usps.com/,INTERAMERICAN DEVELOPMENT BANK,UNIQUE,20577,20577,{2CB81B00-8B5C-43B0-9EA8-1DE696366E4F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
593,20580,ZIP_580,https://www.usps.com/,FEDERAL TRADE COMMISSION,UNIQUE,20580,20580,{76CD34BC-3F14-4A17-81A2-28D02F06182D},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
594,20581,ZIP_581,https://www.usps.com/,COMMODITY FUTURES TRADING COMMISSION,UNIQUE,20581,20581,{E7E5DA45-8951-4D46-BCCD-555F9DF7FF29},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
595,20585,ZIP_585,https://www.usps.com/,VARIOUS FEDERAL AGENCIES,UNIQUE,20585,20585,{B60658BF-70A4-41B9-AA5B-067BDBB34728},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
596,20590,ZIP_590,https://www.usps.com/,US DEPARTMENT OF TRANSPORTATION,UNIQUE,20590,20590,{B60AA020-304D-4494-BA79-2CD8D6EC0BBC},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
597,20591,ZIP_591,https://www.usps.com/,FEDERAL AVIATION ADMINISTRATION,UNIQUE,20591,20591,{84025F0E-D3B0-4151-9F18-942846C90F63},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
598,20594,ZIP_594,https://www.usps.com/,FEDERAL AVIATION ADMINISTRATION,UNIQUE,20594,20594,{7E6D1643-894B-4376-8FB5-E12912EC78BA},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
599,20597,ZIP_597,https://www.usps.com/, ,STANDARD,20597,20597,{4F018F91-E555-4DB1-82B8-FA2AAB547F4F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
600,20416,ZIP_416,https://www.usps.com/,SMALL BUSINESS ADMINISTRATION,UNIQUE,20416,20416,{2CB67537-9F1E-4C79-9B07-28E9C0AAA93A},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
